OpenX Id,Open X Name,OpenX Parent_category_id,OpenX Parent Category Name,IAB/ADF Category Name,IAB/ADF ID
1435,Physical Therapy,14,Health & Fitness,Health & Fitness,IAB7
1436,Psychology/Psychiatry,14,Health & Fitness,Health & Fitness,IAB7
1417,Senior Health,14,Health & Fitness,Health & Fitness,IAB7
1437,Sexuality,14,Health & Fitness,Health & Fitness,IAB7
1438,Smoking Cessation,14,Health & Fitness,Health & Fitness,IAB7
1414,Substance Abuse,14,Health & Fitness,Health & Fitness,IAB7
1404,Weight Loss,14,Health & Fitness,Health & Fitness,IAB7
1419,Women's Health,14,Health & Fitness,Health & Fitness,IAB7
14,Health & Fitness,14,Health & Fitness,Health & Fitness,IAB7
1501,Animals and Nature,15,Hobbies & Interests,Hobbies & Interest,IAB9
1520,Art/Digital Art,15,Hobbies & Interests,Hobbies & Interest,IAB9
1502,Arts & Crafts,15,Hobbies & Interests,Hobbies & Interest,IAB9
1521,Board Games/Puzzles,15,Hobbies & Interests,Hobbies & Interest,IAB9
1522,Card Games,15,Hobbies & Interests,Hobbies & Interest,IAB9
1523,Casual Games,15,Hobbies & Interests,Hobbies & Interest,IAB9
1524,Chess,15,Hobbies & Interests,Hobbies & Interest,IAB9
1505,Collecting,15,Hobbies & Interests,Hobbies & Interest,IAB9
1506,Comic Books & Manga,15,Hobbies & Interests,Hobbies & Interest,IAB9
1525,Drawing/Sketching,15,Hobbies & Interests,Hobbies & Interest,IAB9
1508,Fantasy Sports,15,Hobbies & Interests,Hobbies & Interest,IAB9
1517,Freelance Writing,15,Hobbies & Interests,Hobbies & Interest,IAB9
1526,Genealogy,15,Hobbies & Interests,Hobbies & Interest,IAB9
1527,Getting Published,15,Hobbies & Interests,Hobbies & Interest,IAB9
1512,Guitar,15,Hobbies & Interests,Hobbies & Interest,IAB9
1528,Home Recording,15,Hobbies & Interests,Hobbies & Interest,IAB9
1529,Jewelry Making,15,Hobbies & Interests,Hobbies & Interest,IAB9
1511,Lyrics & Songwriting,15,Hobbies & Interests,Hobbies & Interest,IAB9
1530,Magic & Illusion,15,Hobbies & Interests,Hobbies & Interest,IAB9
1531,Men's Interests,15,Hobbies & Interests,Hobbies & Interest,IAB9
1532,Painting,15,Hobbies & Interests,Hobbies & Interest,IAB9
1513,Photography,15,Hobbies & Interests,Hobbies & Interest,IAB9
1533,Podcasts,15,Hobbies & Interests,Hobbies & Interest,IAB9
1534,Roleplaying Games,15,Hobbies & Interests,Hobbies & Interest,IAB9
1535,Science Fiction & Fantasy,15,Hobbies & Interests,Hobbies & Interest,IAB9
1536,Scrapbooking,15,Hobbies & Interests,Hobbies & Interest,IAB9
1537,Screenwriting,15,Hobbies & Interests,Hobbies & Interest,IAB9
1538,Stamps & Coins,15,Hobbies & Interests,Hobbies & Interest,IAB9
