ADFONIC,,,,,,OpenX Parent Category,,Publisher: Ad Attribute,
ID,NAME,PARENT_ID,CATEGORY_ORDER,IAB_ID,CHANNEL_ID,OpenX Parent Category,OpenX Parent Category ID,Open X Ad Attribute,OpenX Ad Attribute ID
196,Infertility,55,30,IAB7-30,3,Health & Fitness,14,Sexual Health,11
197,Men's Health,55,31,IAB7-31,3,Health & Fitness,14,,
136,Nursing,129,6,IAB4-7,4,Health & Fitness,14,,
198,Nutrition,55,32,IAB7-32,3,Health & Fitness,14,,
199,Orthopedics,55,33,IAB7-33,3,Health & Fitness,14,,
200,Panic/Anxiety,55,34,IAB7-34,3,Health & Fitness,14,,
202,Pediatrics,55,36,IAB7-35,3,Health & Fitness,14,,
203,Physical Therapy,55,37,IAB7-36,3,Health & Fitness,14,,
163,Pregnancy,156,6,IAB6-7,3,Health & Fitness,14,,
204,Psychology/Psychiatry,55,38,IAB7-37,3,Health & Fitness,14,,
205,Senior Health,55,39,IAB7-38,3,Health & Fitness,14,,
295,Senior Living,291,4,IAB14-5,3,Health & Fitness,14,,
206,Sexuality,55,40,IAB7-39,3,Adult,1,Sexual Health,11
207,Sleep Disorders,55,41,IAB7-40,3,Health & Fitness,14,,
209,Substance Abuse,55,43,IAB7-42,3,Health & Fitness,14,,
179,Syndrome,55,13,ADF-092,3,Health & Fitness,14,,
210,Thyroid Disease,55,44,IAB7-43,3,Health & Fitness,14,,
211,Weight Loss,55,45,IAB7-44,3,Health & Fitness,14,,
212,Women's Health,55,46,IAB7-45,3,Health & Fitness,14,,
123,Government,74,6,IAB3-7,4,"Government, Law & Politics",13,Political,13
271,Immigration,270,0,IAB11-1,4,"Government, Law & Politics",13,Political,13
270,Law Government & Politics,,10,IAB11,4,"Government, Law & Politics",13,Political,13
272,Legal Issues,270,1,IAB11-2,4,"Government, Law & Politics",13,Political,13
274,Politics,270,3,IAB11-4,4,"Government, Law & Politics",13,Political,13
273,U.S. Government Resources,270,2,IAB11-3,4,"Government, Law & Politics",13,Political,13
139,U.S. Military,129,9,IAB4-10,4,"Government, Law & Politics",13,Political,13
213,American Cuisine,84,0,IAB8-1,3,"Food, Drink",40017,,
214,Barbecues & Grilling,84,1,IAB8-2,3,"Food, Drink",40017,,
215,Cajun/Creole,84,2,IAB8-3,3,"Food, Drink",40017,,
216,Chinese Cuisine,84,3,IAB8-4,3,"Food, Drink",40017,,
217,Cocktails/Beer,84,4,IAB8-5,3,"Food, Drink",40017,Alcohol,1
218,Coffee/Tea,84,5,IAB8-6,3,"Food, Drink",40017,,
219,Cuisine-Specific,84,6,IAB8-7,3,"Food, Drink",40017,,
220,Desserts & Baking,84,7,IAB8-8,3,"Food, Drink",40017,,
221,Dining Out,84,8,IAB8-9,3,"Food, Drink",40017,,
84,Food & Drink,,7,IAB8,3,"Food, Drink",40017,,
222,Food Allergies,84,9,IAB8-10,3,"Food, Drink",40017,,
225,Italian Cuisine,84,12,IAB8-13,3,"Food, Drink",40017,,
226,Japanese Cuisine,84,13,IAB8-14,3,"Food, Drink",40017,,
227,Mexican Cuisine,84,14,IAB8-15,3,"Food, Drink",40017,,
228,Vegan,84,15,IAB8-16,3,"Food, Drink",40017,,
229,Vegetarian,84,16,IAB8-17,3,"Food, Drink",40017,,
230,Wine,84,17,IAB8-18,3,"Food, Drink",40017,Alcohol,1
157,Adoption,156,0,IAB6-1,3,Family and Living,40007,,
433,Apartments,432,0,IAB21-1,3,Family and Living,40007,,
158,Babies & Toddlers,156,1,IAB6-2,3,Family and Living,40007,,
156,Family & Parenting,,5,IAB6,3,Family and Living,40007,,
160,Family Internet,156,3,IAB6-4,3,Family and Living,40007,,
150,Homeschooling,51,9,IAB5-10,4,Family and Living,40007,,
294,Marriage,291,3,IAB14-4,3,Family and Living,40007,,
161,Parenting - K-6 Kids,156,4,IAB6-5,3,Family and Living,40007,,
